annee,population,sol_cultures_ha,sol_paturages_ha,sol_foret_ha,sol_artificiel_ha,mat_fossiles_t,mat_minerais_t,mat_mineraux_t,mat_biomasse_t,co2_t,sol_cultures_ha_hab,sol_paturages_ha_hab,sol_foret_ha_hab,sol_artificiel_ha_hab,mat_fossiles_t_hab,mat_minerais_t_hab,mat_mineraux_t_hab,mat_biomasse_t_hab,co2_t_hab,mat_non_renouv_t_hab
2013,64387736.000000,18997222.481534,14935749.560453,54028964.745826,0.000000,170078480.643066,68523025.734360,670299473.358144,100538964.135344,417276821.305403,0.295044,0.231966,0.839119,0.000000,2.641473,1.064225,10.410359,1.561461,6.480688,14.116057
2014,64692495.000000,19987676.575477,15000111.573678,51713643.800154,0.000000,163414664.693490,70513309.712300,632019318.617744,103087537.316740,410703700.469388,0.308964,0.231868,0.799376,0.000000,2.526022,1.089977,9.769593,1.593501,6.348552,13.385591
2015,64916336.000000,19654502.123766,14005717.691677,51289350.728496,0.000000,171376012.443718,71280290.013944,602355864.126738,98930310.776629,403836013.836861,0.302767,0.215750,0.790084,0.000000,2.639952,1.098033,9.278957,1.523966,6.220869,13.016942
2016,65086852.000000,20407951.230250,14985926.500947,48569964.318005,0.000000,150831795.040151,70695153.911530,611220702.162479,101786943.029508,408456417.591639,0.313550,0.230245,0.746233,0.000000,2.317393,1.086166,9.390848,1.563863,6.275560,12.794407
2017,65284775.000000,20795860.142360,14282743.261612,43630605.438503,0.000000,159398744.294864,67208588.698989,543738370.520258,98611180.560335,418359098.318854,0.318541,0.218776,0.668312,0.000000,2.441591,1.029468,8.328716,1.510477,6.408218,11.799776
2018,65519539.000000,20815354.215416,14407068.979155,43235138.907244,0.000000,144288304.411187,71296608.719363,511011764.520081,94668247.889405,435505523.693356,0.317697,0.219890,0.659882,0.000000,2.202218,1.088173,7.799380,1.444886,6.646956,11.089771
2021,66083547.000000,20051076.206489,14216993.140511,40720777.817886,0.000000,132547729.494763,69453500.764322,525766314.318397,93259999.715174,380893630.441314,0.303420,0.215137,0.616201,0.000000,2.005760,1.050995,7.956085,1.411244,5.763819,11.012840
2022,66277412.000000,21857801.674651,15542883.757744,49299706.266289,0.000000,142641939.994835,60792858.119341,600102467.000348,99755133.553533,396724507.694928,0.329793,0.234513,0.743839,0.000000,2.152195,0.917249,9.054404,1.505115,5.985818,12.123848
2023,66438828.000000,0.000000,0.000000,0.000000,0.000000,148170800.950104,61347649.546287,667208271.135314,101020181.483704,0.000000,0.000000,0.000000,0.000000,0.000000,2.230184,0.923370,10.042445,1.520499,0.000000,13.195999
2024,68775952.000000,0.000000,0.000000,0.000000,0.000000,142687434.682179,57898671.676830,612380998.568024,101194503.292217,0.000000,0.000000,0.000000,0.000000,0.000000,2.074670,0.841845,8.903999,1.471365,0.000000,11.820514
